############################################################
# Menu header sprites
#
# Format: GXT_NAME LOGO_PATH PATTERN_PATH INTERIOR_ID
# INTERIOR_ID = -1 ignores interior checks
############################################################

AMMUN       ammu-nation.png     ammu-nation_pattern.png     -1
AMMUN1      ammu-nation.png     ammu-nation_pattern.png     -1
AMMUN2      ammu-nation.png     ammu-nation_pattern.png     -1
AMMUN3      ammu-nation.png     ammu-nation_pattern.png     -1
AMMUN4      ammu-nation.png     ammu-nation_pattern.png     -1
AMMUN5      ammu-nation.png     ammu-nation_pattern.png     -1
CHT11       cheat.png           cheat_pattern.png           -1
CLOTCHO     binco.png           binco_pattern.png           15
CLOTCHO     ds.png              ds_pattern.png              14
CLOTCHO     prolaps.png         prolaps_pattern.png         3
CLOTCHO     suburban.png        suburban_pattern.png        1
CLOTCHO     victim.png          victim_pattern.png          5
CLOTCHO     zip.png             zip_pattern.png             18
CLOTCHO     wordrobe.png        wordrobe_pattern.png        142
CSPAWN      car_spawner.png     car_spawner_pattern.png     -1
FOODCHO     rusty_brown.png   	rusty_brown_pattern.png          17
FOODCHO     burger.png   	    burger_pattern.png          10
FOODCHO     bell.png   	        bell_pattern.png            9
FOODCHO     pizza.png   	    pizza_pattern.png           5
HAIRCHO     barber.png   	    barber_pattern.png          2
RSHOP       rshop.png   	    rshop_pattern.png           -1
TATTO       tattoos.png   	    tattoos_pattern.png         3
TATTO       tattoos.png   	    tattoos_pattern.png         16
TATTO       tattoos.png   	    tattoos_pattern.png         17
UPGRADE     modgarage.png   	modgarage_pattern.png       1
UPGRADE     loco.png   	        loco_pattern.png            2
UPGRADE     waa.png   	        waa_pattern.png             3
